code,name_ar,name_fr,name_en,phone,fax,email,website,address_ar,created_year,parent_wilaya,data_completeness,source,last_updated
33,إيليزي,Illizi,Illizi,029 41 10 34/029 41 10 35/029 41 10 36/029 41 10 37,029 41 10 06,illizi3@yahoo.fr,WWW.wilaya-illizi.dz,ايليزي,,,full,merged,2026-04-26
34,برج بوعريرج,Bordj Bou Arreridj,Bordj Bou Arreridj,035 72 23 47,035 72 23 90,wil_bba34@yahoo.fr,www.bibans-info.gov.dz,مقر الولاية حي 20 أوت برج بوعريريج,,,full,merged,2026-04-26
35,بومرداس,Boumerdes,Boumerdes,024 94 91 40 /024 94 9180,024 94 92 54/024 94 92 68,contact@wilaya-boumerdes.dz,http://www.wilaya-boumerdes.dz,المقر الإداري وسط المدينة بومرداس,,,full,merged,2026-04-26
36,الطارف,El Tarf,El Tarf,038 60 10 03,038 30 17 36 / 038 60 26 93,cellule.com.cab.wilayaeltarf@gmail.com,www.wilayadeltarf.com,الحي الإداري الجديد بلدية الطارف,,,full,merged,2026-04-26
37,تندوف,Tindouf,Tindouf,049 38 83 21/25,049 38 83 22,contact@wilaya-tindouf.dz,http://wilaya-tindouf.dz,تندوف لطفي   ولاية تندوف,,,full,merged,2026-04-26
38,تيسمسيلت,Tissemsilt,Tissemsilt,046 57 48 52,046 57 44 21,wilaya-tissemsilt@hotmail.fr,http://www.wilaya-tissemsilt.dz,شارع الإخوة حمدي تيسمسيلت,,,full,merged,2026-04-26
39,الوادي,El Oued,El Oued,032 14 17 17   / 032 14 18 18,032 21 67 59,cci@wilayaeloued.com,www.wilayaeloued.com,الــــوادي,,,full,merged,2026-04-26
40,خنشلة,Khenchela,Khenchela,032 73 48 01 / 032 73 48 02 / 032 73 48 03 /032 73 48 04,032 73 48 11 / 032 73 48 21 / 032 73 48 25 / 032 73 48 27,KHWIL@YAHOO.FR,www.wilaya-khenchela.dz,الحي الإداري 100 مكتب ولاية خنشلة,,,full,merged,2026-04-26
41,سوق اهراس,Souk Ahras,Souk Ahras,037 72 00 02/037 72 00 41,037 72 00 13,contact@wilaya-soukahras.dz,http://www.wilaya-soukahras.dz/,حي العقيد عميروش سوق أهراس,,,full,merged,2026-04-26
42,تيبازة,Tipaza,Tipaza,024 47 80 50  /  51 / 52 / 54 / 57,024 47 91 18,celcomtipasa@hotmail.fr           cabinet42@hotmail.fr,,الحي  الاداري  -  تيبازة   -,,,full,merged,2026-04-26
43,ميلة,Mila,Mila,035 35 08 04 / 035 35 08 13 / 035 35 08 13,035 35 08 38,wilayamsiladz@gmail.com,http://wilaya-msila.dz/ar/,نهج جيش التحرير,,,full,merged,2026-04-26
44,عين الدفلة,Ain Defla,Ain Defla,027 50 66 80,027 50 66 94,,WWW.wilaya-aindefla.dz,شارع الأمير خالد- عين الدفلى-,,,full,merged,2026-04-26
45,النعامة,Naama,Naama,049 59 59 53/049 59 59 52,049 59 55 61,,www.wilaya-naama.dz,,,,full,merged,2026-04-26
46,عين تيموشنت,Ain Temouchent,Ain Temouchent,043 60 50 50 /18 22,043 60 53 77,dtn46@yahoo.fr,,مقر الولاية / حي الزيتــــــــون  /عين تموشنـــت,,,full,merged,2026-04-26
47,غرداية,Ghardaia,Ghardaia,029 28 30 02,,wghardaia@yahoo.fr,www.wilayadeghardaia.dz,شارع 01 نوفمبر,,,full,merged,2026-04-26
48,غليزان,Relizane,Relizane,046 72 10 00,046.72.10.81,wilayadz48@gmail.com,www.wilaya-relizane.dz,مقر ولاية غليزان,,,full,merged,2026-04-26
49,تيميمون,Timimoun,Timimoun,,,,,,2019,01,partial,merged,2026-04-26
50,برج باجي مختار,Bordj Badji Mokhtar,Bordj Badji Mokhtar,,,,,,2019,01,partial,merged,2026-04-26
51,أولاد جلال,Ouled Djellal,Ouled Djellal,,,,,,2019,07,partial,merged,2026-04-26
52,بني عباس,Beni Abbes,Beni Abbes,,,,,,2019,08,partial,merged,2026-04-26
53,عين صالح,In Salah,In Salah,,,,,,2019,11,partial,merged,2026-04-26
54,عين قزام,In Guezzam,In Guezzam,,,,,,2019,11,partial,merged,2026-04-26
55,تقرت,Touggourt,Touggourt,,,,,,2019,30,partial,merged,2026-04-26
56,جانت,Djanet,Djanet,,,,,,2019,33,partial,merged,2026-04-26
57,المغير,El Meghaier,El Meghaier,,,,,,2019,39,partial,merged,2026-04-26
58,المنيعة,El Meniaa,El Meniaa,,,,,,2019,47,partial,merged,2026-04-26
59,آفلو,Aflou,Aflou,,,,,,2025,03,names_only,manual,2026-04-26
60,بريكة,Barika,Barika,,,,,,2025,05,names_only,manual,2026-04-26
61,القنطرة,El Kantara,El Kantara,,,,,,2025,07,names_only,manual,2026-04-26
62,بئر العاتر,Bir El Ater,Bir El Ater,,,,,,2025,12,names_only,manual,2026-04-26
63,العريشة,El Aricha,El Aricha,,,,,,2025,13,names_only,manual,2026-04-26
64,قصر الشلالة,Ksar Chellala,Ksar Chellala,,,,,,2025,14,names_only,manual,2026-04-26
65,عين وسارة,Ain Oussara,Ain Oussara,,,,,,2025,17,names_only,manual,2026-04-26
66,مسعد,Messaad,Messaad,,,,,,2025,17,names_only,manual,2026-04-26
67,قصر البخاري,Ksar El Boukhari,Ksar El Boukhari,,,,,,2025,26,names_only,manual,2026-04-26
68,بوسعادة,Bou Saada,Bou Saada,,,,,,2025,28,names_only,manual,2026-04-26
69,الأبيض سيدي الشيخ,El Abiodh Sidi Cheikh,El Abiodh Sidi Cheikh,,,,,,2025,32,names_only,manual,2026-04-26
