code,name_ar,name_fr,name_en,wilaya_code,wilaya_name_ar,daira_name_ar,phone,fax,email,website,address_ar,source
0202,تنس,TENES,Tenes,02,الشلف,تنس,027 76 71 10 / 50,(027) 76 - 64 - 82,,,شارع علال أحمد تنس,merged
0203,بنايرية,BENAIRIA,Benairia,02,الشلف,الزبوجة,027 46 01 96/02 12,(027) 46 - 04 - 89,benairia0203@gmail.com,,شارع المجاهدين حيدور محمد رقم 06,merged
0204,الكريمية,EL KARIMIA,El Karimia,02,الشلف,الكريمية,027 70 83 03/29/84 52,(027) 70 - 83 - 29,,,شارع بلبولة جيلالي الكريمية,merged
0205,تاجنة,TADJENA,Tadjena,02,الشلف,أبو الحسن,027 42 41 06,(027) 42 - 49 - 70,,,تاجنة مركز,merged
0206,تاقريت,TAOUGRITE,Taougrite,02,الشلف,تاوقريت,027 42 01 94/88/05 63,(027) 42 - 01 - 73,,,شارع الشهيد لواج محمد,merged
0207,بني حواء,BENI HAOUA,Beni Haoua,02,الشلف,بني حواء,027 75 31 78 / 88,(027) 75 - 35 - 51,benihaoua0207@gmail.com,,19شارع الشهيد حدار اجمد,merged
0208,صبحة,SOBHA,Sobha,02,الشلف,,,(027) 71 - 97 - 77,,,,scraped
0209,حرشون,HARCHOUN,Harchoun,02,الشلف,الكريمية,027 44 32 82/48/58/78,(027) 44 - 33 - 48,,,شارع بلبولة قدور حرشون,merged
0210,أولاد فارس,OULED FARES,Ouled Fares,02,الشلف,أولاد فارس,027 72 02 29/00 08/94 02/93 27,(027) 72 - 91 - 28,apc.ouledfares@yahoo.fr,,أولاد فارس مركز,merged
0211,سيدي عكاشة,SIDI AKKACHA,Sidi Akkacha,02,الشلف,تنس,027 76 00 20/02 00,(027) 76 - 13 - 83,,,شارع سي الهادي، سيدي عكاشة مركز,merged
0212,بوقادير,BOUKADIR,Boukadir,02,الشلف,بوقادير,027 74 02 91,(027) 74 - 09 - 71,com0212@wilaya-chlef.dz,,بوقادير مركز,merged
0213,بني راشد,BENI RACHED,Beni Rached,02,الشلف,وادي الفضة,027 44 01 59,(027) 44 - 01 - 59,,,شارع بلعرج علي رقم 08,merged
0214,تلعصة,TALASSA,Talassa,02,الشلف,أبو الحسن,027 46 31 06,(027) 46 - 32 - 62,APCTALASSA@GMAIL.COM,,مقر البلدية حي بن باديس تلعصة,merged
0215,الهرنفة,HERENFA,Herenfa,02,الشلف,عين مران,027 42 21 30/70,(027) 42 - 23 - 64,,,نهج حسيبة بنبوعلي الهرانفة مركز,merged
0216,وادي قوسين,OUED GOUSSINE,Oued Goussine,02,الشلف,بني حواء,027 75 81 23,(027) 75 - 81 - 56,,,واد قوسين مركز,merged
0217,الظهر,DAHRA,Dahra,02,الشلف,تاوقريت,027 42 61 03/88/56,(027) 42 - 61 - 03,dahra0217@gmail.com,,شارع 01 نوفمبر 1954,merged
0218,أولاد عباس,OULED ABBES,Ouled Abbes,02,الشلف,وادي الفضة,027 44 21 04,(027) 44 - 21 - 60,,,شارع العربي سوداني,merged
0219,السنجاس,SENDJAS,Sendjas,02,الشلف,الشلف,027 70 08 50/99,(027) 70 - 01 - 43,com0219@wilaya-chlef.dz,,سنجاس مركز,merged
0220,الزبوجة,ZEBOUDJA,Zeboudja,02,الشلف,الزبوجة,027 75 20 81/22 92/24 80,(027) 75 - 22 - 94,,,شارع بن زعمية لحاج المدعو الملياني رقم 24,merged
0221,وادي سلي,OUED SLY,Oued Sly,02,الشلف,بوقادير,027 71 00 49,(027) 71 - 60 - 00,com0221@wilaya-chlef.dz,,وادي سلي مركز,merged
0222,أبو الحسين,ABOU EL HASSAN,Abou El Hassan,02,الشلف,أبو الحسن,027 75 54 01,(027) 75 - 50 - 85,,,ابو الحسن مركز,merged
0223,المرسى,EL MARSA,El Marsa,02,الشلف,المرسى,027 75 61 35,(027) 75 - 65 - 19,marsa-new@gmail.com,,حي خربوش لكحل شارع أول نوفمبر 1954,merged
0224,الشطية,CHETTIA,Chettia,02,الشلف,أولاد فارس,027 73 16 00/ 77 62 24,(027) 73 - 92 - 80,apc_chettia@hotmail.com,,بلدية الشطية منطقة 05 الشطية الشلف,merged
0225,سيدي عبد الرحمن,SIDI ABDERRAHMANE,Sidi Abderrahmane,02,الشلف,تنس,027 46 51 55,(027) 46 - 54 - 12,,,حي ركاب محمد، سيدي عبد الرحمن مركز,merged
0226,مصدق,MOUSSADEK,Moussadek,02,الشلف,المرسى,027 46 21 17,(027) 46 - 21 - 05,APC0226@GMAIL.COM,,حي ياحي معمر مصدق الشلف,merged
0227,الحجاج,EL HADJADJ,El Hadjadj,02,الشلف,أولاد بن عبد القادر,027 49 21 01,(027) 49 - 22 - 90,,,الحجاج مركز شارع حسيبة بن بوعلي رقم 51,merged
0228,الأبيض مجاجة,LABIOD MEDJADJA,Labiod Medjadja,02,الشلف,أولاد فارس,027 49 31 05/33 28,(027) 49 - 31 - 05,,,بلديةالأبيض مجاجة مركز,merged
0229,وادي الفضة,OUED FODDA,Oued Fodda,02,الشلف,وادي الفضة,027 44 62 95,(027) 44 - 72 - 02,,,شارع اول نوفمبر,merged
0230,أولاد بن عبد القادر,OULED BEN ABDELKADER,Ouled Ben Abdelkader,02,الشلف,أولاد بن عبد القادر,027 42 31 04,(027) 42 - 39 - 80,apcobaek@yahoo.fr,,حي عبد الحميد بن باديس أولاد بن عبد القادر مركز ولاية الشلف,merged
0231,بوزغاية,BOUZEGHAIA,Bouzeghaia,02,الشلف,الزبوجة,027 71 50 04,(027) 71 - 50 - 04,APCBOUZGHAIA0231@GMAIL.COM,,بوزغاية مركز,merged
0232,عين مران,AIN MERANE,Ain Merane,02,الشلف,عين مران,027 42 94 00/90 96,(027) 42 - 80 - 96,rabelais0232@gmail.com,,حي سهيل العربي,merged
0233,أم الدروع,OUM DROU,Oum Drou,02,الشلف,الشلف,027 71 80 25,(027) 71 - 83 - 42,,,بلدية ام الدروع,merged
0234,بريرة,BREIRA,Breira,02,الشلف,بني حواء,027 46 61 02/18/20,(027) 46 - 61 - 18,,,بريرة مركز,merged
0235,بني بوعتاب,BENI  BOUATTAB,Beni  Bouattab,02,الشلف,الكريمية,027 44 51 04/56,(027) 44 - 51 - 10,,,بني بوعتاب مركز,merged
0301,الأغواط,LAGHOUAT,Laghouat,03,الأغواط,الأغواط,029 10 17 47,(029) 93 - 40 - 73,,,شارع الاستقلال مقاطعة 01 مج 93,merged
0302,قصر الحيران,KSAR EL HIRANE,Ksar El Hirane,03,الأغواط,قصر الحيران,029 93 96 56,(029) 93 - 96 - 78,,,حي جنيدي الأخضر  رقم 2,merged
0303,بن ناصر بن شهرة,BENACER BENCHOHRA,Benacer Benchohra,03,الأغواط,قصر الحيران,029 14 32 30,(029) 92 - 34 - 62,,,حي مريزقي عبد القادر,merged
0304,سيدي مخلوف,SIDI MAKHLOUF,Sidi Makhlouf,03,الأغواط,سيدي مخلوف,029 14 12 48,(029) 94 - 10 - 27,communesidimakhlouf@gmail.com,,شارع بريشي بلعيد,merged
0305,حاسي الدلاعة,HASSI DELAA,Hassi Delaa,03,الأغواط,حاسي الرمل,029 18 03 43,(029) 98 - 02 - 94,apchdag17@gmail.com,,بلدية حاسي الدلاعة,merged
0306,حاسي الرمل,HASSI R'MEL,Hassi R'Mel,03,الأغواط,حاسي الرمل,029 18 71 71,(029) 98 - 80 - 94,Apc-HRM@gmail.com,,بلدية حاسي الرمل,merged
0307,عين ماضي,AIN MAHDI,Ain Mahdi,03,الأغواط,عين ماضي,029 13 04 85/029 13 05 84,(029) 93 - 07 - 31,apcainmadi@yahoo.com,www.apc-ainmadhi.dz,حي 1 نوفمبر,merged
0308,تاجموت,TADJEMOUT,Tadjemout,03,الأغواط,عين ماضي,029 13 65 71,(029) 93 - 66 - 52,,,حي 100 سكن,merged
0309,الخنق,KHENEG,Kheneg,03,الأغواط,عين ماضي,029 14 82 38/029 14 82 21,(029) 94 - 81 - 84,,,بلدية الخنق,merged
0310,قتلة سيدي سعيد,GUELTAT SIDI SAAD,Gueltat Sidi Saad,03,الأغواط,قتلة سيدي سعيد,029 17 33 23,(029) 96 - 32 - 99,apc gueltat sidi saad@gmail.com,,احداث 11 ديسمبر,merged
0311,عين سهيه علي,AIN SIDI ALI,Ain Sidi Ali,03,الأغواط,قتلة سيدي سعيد,029 17 02 90,(029) 97 - 03 - 49,apc ain sidi ali@gmail.com,,حي الشهيد تومي عدة,merged
0312,بيضاء,BEIDHA,Beidha,03,الأغواط,قتلة سيدي سعيد,029 16 82 82,(029) 97 - 84 - 12,,,شارع الامير عبد القادر,merged
0313,بريدة,BRIDA,Brida,03,الأغواط,بريدة,029 16 02 75,غير متاح,communebrida@gmail.com,,بلدية البريدة,merged
0314,الغيشة,EL GHICHA,El Ghicha,03,الأغواط,الغيشة,029 16 52 24,(029) 97 - 54 - 22,communeelghicha@yahoo.com,,شارع روادي عبد القادر,merged
0315,الحاج مشري,HADJ MECHRI,Hadj Mechri,03,الأغواط,بريدة,029 16 89 52,(029) 95 - 92 - 56,apchadjmechri@gmail.com,,بلدية  الحاج المشري,merged
0316,سبقاق,SEBGAG,Sebgag,03,الأغواط,أفلو,029 16 91 68,(029) 95 - 92 - 56,,,القرية الاشتراكية الفلاحية  سبقاق,merged
0317,تاويالة,TAOUIALA,Taouiala,03,الأغواط,بريدة,029 16 32 94,(029) 97 - 63 - 46,apctaouiala0317@gmail.com,,حي الشهداء الاربعة,merged
0318,تاجرونة,TADJROUNA,Tadjrouna,03,الأغواط,عين ماضي,029 14 02 05,(029) 94 - 34 - 26,tadjrouna0318@gmail.com,,بلدية تاجرونة,merged
0319,أفلو,AFLOU,Aflou,03,الأغواط,أفلو,029 16 67 89,(029) 96 - 51 - 51,,,شارع الثورة الزراعية,merged
0320,العسفية,EL ASSAFIA,El Assafia,03,الأغواط,سيدي مخلوف,029 12 62 31,(029) 94 - 60 - 82,apc.el.assafia@gmail.com,,حي 08 ماي 1945,merged
0321,وادي مرة,OUED MORRA,Oued Morra,03,الأغواط,وادي مرة,029 16 38 66,(029) 97 - 32 - 70,,,بلدية واد مرة,merged
0322,وادي مزي,OUED M'ZI,Oued M'Zi,03,الأغواط,وادي مرة,029 12 30 16,(029) 95 - 71 - 87,,,بلدية واد مزي,merged
0323,الحويطة,EL HAOUAITA,El Haouaita,03,الأغواط,عين ماضي,029 14 41 50,(029) 94 - 42 - 25,haouitadz@gmail.com,,بلدية الحويطة,merged
0324,سيدي بوزيد,SIDI BOUZID,Sidi Bouzid,03,الأغواط,أفلو,029 16 21 87,(029) 97 - 23 - 75,,,بلدية سيدي بوزيد,merged
0401,أم البواقي,OUM EL BOUAGHI,Oum El Bouaghi,04,أم البواقي,أم البواقي,032 56 02 09,(032) 42 - 50 - 37,,,شارع عباد علاوة,merged
0402,عين البيضاء,AIN BEIDA,Ain Beida,04,أم البواقي,عين البيضاء,032 68 94 67,(032) 47 - 83 - 09,,,نهج كانوني الطيب,merged
0403,عين مليلة,AIN M'LILA,Ain M'Lila,04,أم البواقي,عين مليلة,032 50 60 32,(032) 45 - 28 - 43,,,نهج سويكي بوجمعة,merged
0404,بحير الشرقي,BEHIR CHERGUI,Behir Chergui,04,أم البواقي,مسكيانة,032 66 81 20/21,(032) 46 - 81 - 62,,,شارع ثورة التحرير,merged
0405,العامرية,EL AMIRIA,El Amiria,04,أم البواقي,سيقوس,032 58 61 04,(032) 43 - 61 - 94,,,أولاد جليلة,merged
0406,سيقوس,SIGUS,Sigus,04,أم البواقي,سيقوس,032 56 81 53,(032) 40 - 87 - 68,,,شارع الاستقلال,merged
0407,البلالة,EL BELALA,El Belala,04,أم البواقي,مسكيانة,032 66 80 14,(032) 47 - 51 - 05,,,نهج 01 ماي 1945,merged
0408,عين بابوش,AIN BABOUCHE,Ain Babouche,04,أم البواقي,عين ببوش,032 67 33 20,(032) 46 - 33 - 47,,,نهج بن بولعيد,merged
0409,بريش,BERRICHE,Berriche,04,أم البواقي,عين البيضاء,032 67 51 25,(032) 49 - 89 - 47,,,شارع 01 نوفمبر,merged
0410,أولاد حملة,OULED HAMLA,Ouled Hamla,04,أم البواقي,عين مليلة,032 44 51 00/50 50,(032) 44 - 51 - 45,,,مركز أولاد حملة,merged
0411,الضلعة,DHALA,Dhala,04,أم البواقي,الضلعة,032 66 61 03,(032) 49 - 62 - 68,,,نهج 01 نوفمبر,merged
0412,عين كرشة,AIN KERCHA,Ain Kercha,04,أم البواقي,عين كرشة,032 51 12 44,(032) 44 - 13 - 77,,,شارع العمال,merged
0413,هنشير تومغاني,HANCHIR TOUMGHANI,Hanchir Toumghani,04,أم البواقي,عين كرشة,032 51 01 65,(032) 41 - 01 - 07,,,مركز هنشيرتومغني,merged
0414,الجازية,EL DJAZIA,El Djazia,04,أم البواقي,الضلعة,032 46 01 65,(032) 46 - 01 - 07,,,مركز الجازية,merged
0415,عين الديس,AIN DISS,Ain Diss,04,أم البواقي,عين ببوش,032 58 41 41,(032) 43 - 41 - 01,,,نهج سليمان عميرات,merged
0416,فكيرينة,FKIRINA,Fkirina,04,أم البواقي,فكيرينة,032 47 91 91,(032) 47 - 90 - 65,,,شارع زيناي مسعي,merged
0417,سوق نعمان,SOUK NAAMANE,Souk Naamane,04,أم البواقي,سوق نعمان,032 44 41 67,(032) 44 - 48 - 26,,,حي هواري بومدين,merged
0418,الزرق,ZORG,Zorg,04,أم البواقي,عين البيضاء,032 69 80 44,(032) 48 - 11 - 26,,,قرية عين بن عياد,merged
0419,الفجوج بوغرارة سعودي,EL FEDJOUDJ BOUGHRARA SAOUDI,El Fedjoudj Boughrara Saoudi,04,أم البواقي,عين فكرون,032 58 31 02/07/80,(032) 43 - 31 - 05,,,مركز بوغرارة السعودي,merged
0420,أولاد زاوي,OULED ZOUAI,Ouled Zouai,04,أم البواقي,سوق نعمان,032 45 41 02,(032) 45 - 41 - 35,,,حي النصر,merged
0421,بئر الشهداء,BIR CHOUHADA,Bir Chouhada,04,أم البواقي,سوق نعمان,032 45 80 03,(032) 45 - 83 - 33,,,شارع جيش التحرير,merged
0422,قصر الصباحي,KSAR SBAHI,Ksar Sbahi,04,أم البواقي,قصر الصباحي,032 55 52 61/59,(032) 40 - 50 - 31,,,نهج 01 نوفمبر,merged
0423,وادي نيني,OUED NINI,Oued Nini,04,أم البواقي,فكيرينة,032 48 21 26,(032) 48 - 21 - 85,,,مركز واد نيني,merged
0424,مسكيانة,MESKIANA,Meskiana,04,أم البواقي,مسكيانة,032 66 21 70,(032) 47 - 25 - 73,,,نهج مزياني عبد الحميد,merged
0425,عين الفكرون,AIN FEKROUNE,Ain Fekroune,04,أم البواقي,عين فكرون,032 40 14 11,(032) 40 - 17 - 77,,,شارع 01 نوفمبر 1954,merged
0426,الراحية,RAHIA,Rahia,04,أم البواقي,مسكيانة,032 67 91 02,(032) 46 - 91 - 44,,,شارع حديد والي,merged
0427,عين الزيتون,AIN ZITOUN,Ain Zitoun,04,أم البواقي,أم البواقي,032 58 21 03,(032) 43 - 21 - 17,,,بلدية عين الزيتون وسط,merged
0428,أولاد قاسم,OULED GACEM,Ouled Gacem,04,أم البواقي,عين مليلة,032 51 90 25,(032) 45 - 51 - 95,,,مركز أولاد قاسم,merged
0429,الحرملية,EL HARMILIA,El Harmilia,04,أم البواقي,عين كرشة,032 51 72 01,(032) 45 - 71 - 08,,,حي 05 جويلية 1962,merged
0501,باتنة,BATNA,Batna,05,باتنة,باتنة,033.81.21.15,(033) 85 - 69 - 31,,,باتنة,merged
0502,غسيرة,GHASSIRA,Ghassira,05,باتنة,تكوت,033.20.71.02,(033) 94 - 71 - 01,apcghassira@gmail.com,,أولاد عابد - غسيرة,merged
0503,معافة,MAAFA,Maafa,05,باتنة,عين التوتة,033.35.78.05,(033) 83 - 77 - 88,apc.maafa@gmail.com,,معافة,merged
0504,مروانة,MEROUANA,Merouana,05,باتنة,مروانة,033.33.12.36,(033) 87 - 90 - 90,merouana@gmail.com,,شارع 05 جويلية-مروانة,merged
0505,سريانة,SERIANA,Seriana,05,باتنة,سريانة,033.26.53.13,(033) 93 - 60 - 19,www.apcseriana0505@gmail.com,,سريانة,merged
0506,منعة,MENAA,Menaa,05,باتنة,منعة,033.34.64.49,(033) 84 - 74 - 74,Commune menaa@yahoo.fr,,حي إجمدان - منعة,merged
0507,المعذر,EL MADHER,El Madher,05,باتنة,المعذر,033.26.85.93,(033) 93 - 86 - 53,,,شارع عبد الحميد بن باديس,merged
0508,تازولت,TAZOULT,Tazoult,05,باتنة,تازولت,033.82.21.69,(033) 22 - 10 - 46,apctazoult@gmail.com,,تازولت,merged
0509,نقاوس,N GAOUS,N Gaous,05,باتنة,نقاوس,033.37.71.66,(033) 88 - 62 - 59,apc.ngaous@yahoo.fr,,نقاوس,merged
0510,قيقبة,GUIGBA,Guigba,05,باتنة,رأس العيون,033.36.01.02,(033) 96 - 03 - 84,APCGUIGBA@GMAIL.COM,,الطريق الوطني رقم 78 القيقبة,merged
0511,إينوغيسن,INOUGHISSEN,Inoughissen,05,باتنة,إشمول,033.34.80.04,(033) 94 - 81 - 02,,,إينوغيسن,merged
0512,عيون العصافير,OUYOUN EL ASSAFIR,Ouyoun El Assafir,05,باتنة,تازولت,033.21.72.66,(033) 91 - 71 - 58,apcouyounelassafir@gmail.com,,سيدي معنصر,merged
0513,جرمة,DJERMA,Djerma,05,باتنة,المعذر,033.85.91.16,(033) 85 - 91 - 99,APCDJERM@gmail.com,,جرمة مركز,merged
0514,بيطام,BITAM,Bitam,05,باتنة,بريكة,033.89.81.09,(033) 89 - 83 - 67,apc.bitam0514@gmail.com,,شارع 1 نوفمبر 1954-بيطام,merged
0515,إزيل عبد القادر,AZIL ABEDELKADER,Azil Abedelkader,05,باتنة,الجزار,033.95.32.05,(033) 95 - 32 - 07,AEK azil 1959@gmail.com,,عزيل عبد القادر,merged
0516,أريس,ARRIS,Arris,05,باتنة,أريس,033.34.30.79,(033) 84 - 56 - 22,Apc-arris@yahoo.com,,أريس,merged
0517,كيمل,KIMMEL,Kimmel,05,باتنة,تكوت,033.20.31.02,(033) 94 - 01 - 12,Apckimmel05@gmail.com,,كيمل - سيدي علي,merged
0518,تيلاطو,TILATOU,Tilatou,05,باتنة,سقانة,033.91.21.01,(033) 91 - 21 - 28,tilatouapc@hotmail.com,,تيلاطو,merged
0519,عين جاسر,AIN DJASSER,Ain Djasser,05,باتنة,عين جاسر,033.24.53.62,(033) 98 - 75 - 47,Aindjasser@yahoo.fr,,حي أول نوفمبر-عين جاسر,merged
0520,أولاد سالم,OULED SELLEM,Ouled Sellem,05,باتنة,رأس العيون,033.28.91.01,(033) 83 - 63 - 16,COMMUNEOS@GMAIL.COM,,أولاد سلام,merged
0521,تغرغار,TIGHARGHAR,Tigharghar,05,باتنة,منعة,033.20.52.00,(033) 94 - 51 - 04,APC-tigharghar@yahoo.fr,,تغرغار وسط المدينة,merged
0522,عين ياقوت,AIN YAGOUT,Ain Yagout,05,باتنة,المعذر,033.27.82.08,(033) 98 - 55 - 63,,,شارع الشهيد محمد عموري عين ياقوت,merged
0523,فسديس,FESDIS,Fesdis,05,باتنة,باتنة,033.80.81.90,(033) 80 - 80 - 82,,,فسديس,merged
0524,سفيان,SEFIANE,Sefiane,05,باتنة,نقاوس,033.37.53.35,(033) 96 - 52 - 62,,,سفيان,merged
0525,الرحبات,RAHBAT,Rahbat,05,باتنة,رأس العيون,033.36.81.01,(033) 96 - 81 - 13,APCRAHBAT@GMAIL.COM,,الرحبات,merged
0526,تغانمين,TIGHANIMINE,Tighanimine,05,باتنة,أريس,033.34.21.34,(033) 92 - 22 - 54,apctighanimine11@gmail.com,,مشتى بوصالح-تيغانمين,merged
0527,لمسان,LEMSANE,Lemsane,05,باتنة,أولاد سي سليمان,033.33.75.21,(033) 87 - 42 - 62,apclemsane@gmail.com,,لمسان,merged
0528,قصر بلزمة,KSAR BELLEZMA,Ksar Bellezma,05,باتنة,مروانة,033.87.23.87,(033) 87 - 21 - 16,ksar0528@yahoo.com,,قصر بلزمة,merged
0529,سقانة,SEGGANA,Seggana,05,باتنة,سقانة,033.37.22.27,(033) 95 - 21 - 55,Apc.seggana@gmail.com,,سقانة,merged
0530,أشمول,ICHMOUL,Ichmoul,05,باتنة,إشمول,033.34.91.24,(033) 84 - 94 - 64,,,شارع الشهيد بهدنة لخضر-إشمول,merged
0531,فم الطوب,FOUM TOUB,Foum Toub,05,باتنة,إشمول,033.20.41.42,(033) 91 - 41 - 46,,,فم الطوب,merged
0532,بني فوظالة الحكانية,BENI FOUDHALA EL HAKANIA,Beni Foudhala El Hakania,05,باتنة,عين التوتة,033.89.00.13,(033) 89 - 13 - 13,,,بني فضالة الحقانية,merged
0533,وادي الماء,OUED EL MA,Oued El Ma,05,باتنة,مروانة,033.33.30.50,(033) 83 - 34 - 63,ouedelma@gmail.com,,وادي الماء,merged
0534,تالغمت,TALKHAMT,Talkhamt,05,باتنة,رأس العيون,033.33.41.01,(033) 87 - 42 - 31,APCTALKHAMT@GMAIL.COM,,تالخمت,merged
0535,بوزينة,BOUZINA,Bouzina,05,باتنة,بوزينة,033.20.81.89,(033) 84 - 82 - 60,apsbouzina35@gmail.com,,بوزينة,merged
0536,شمرة,CHEMORA,Chemora,05,باتنة,,,(030) 37 - 45 - 16,,,,scraped
0537,وادي الشعبة,OUED CHAABA,Oued Chaaba,05,باتنة,باتنة,033.80.12.75,(033) 80 - 11 - 58,Co-oued-chaaba@hotmail.fr,,حي لمبيريدي-وادي الشعبة,merged
0538,تاكسلانة,TAXLENT,Taxlent,05,باتنة,أولاد سي سليمان,033.36.21.01,(033) 96 - 22 - 01,apctaxlent@gmail.com,,تاكسلانت,merged
0539,القصبات,GOSBAT,Gosbat,05,باتنة,رأس العيون,033.36.61.22,(033) 36 - 62 - 35,APCGOSBAT0539@GMAIL.COM,,القصبات,merged
0540,أولاد عوف,OULED AOUF,Ouled Aouf,05,باتنة,عين التوتة,033.97.77.77,(033) 89 - 11 - 22,apscouledaouf0540@gmail.com,,تامسغيت-أولاد عوف,merged
0541,بومقر,BOUMAGUEUR,Boumagueur,05,باتنة,نقاوس,033.37.91.98,(033) 96 - 92 - 96,Boumagueur0541@gmail.com,,بومقر,merged
0542,بريكة,BARIKA,Barika,05,باتنة,بريكة,033.39.12.90,(033) 89 - 96 - 96,apcbarika@hotmail.fr,,نهج 08 ماي 1945 - بريكة,merged
0543,الجزار,DJEZZAR,Djezzar,05,باتنة,الجزار,033.89.52.14,(033) 89 - 54 - 15,djezzar.batna@yahoo.com,,الجزار,merged
0544,تكوت,T KOUT,T Kout,05,باتنة,تكوت,033.34.00.17,(033) 84 - 02 - 53,Commune.tkout@gmail.com,,تكوت,merged
0545,عين التوتة,AIN TOUTA,Ain Touta,05,باتنة,عين التوتة,033.35.54.00,(033) 83 - 47 - 47,,,عين التوتة,merged
0546,حيدوسة,HIDOUSSA,Hidoussa,05,باتنة,مروانة,033.33.90.13,(033) 87 - 11 - 70,,,شارع الشهداء الإخوة عنون-حيدوسة,merged
0547,ثنية العابد,TENIET EL ABED,Teniet El Abed,05,باتنة,ثنية العابد,033.34.10.16,(033) 84 - 14 - 93,,,ثنية العابد,merged
0548,وادي الطاقة,OUED TAGA,Oued Taga,05,باتنة,ثنية العابد,033.20.14.65,(033) 81 - 00 - 88,communeouedtaga@yahoo.com,,وادي الطاقة,merged
0549,أولاد فاضل,OULED FADEL,Ouled Fadel,05,باتنة,تيمقاد,033.32.32.31,(033) 91 - 34 - 27,,,طريق يابوس وسط توفانة,merged
0550,تيمقاد,TIMGAD,Timgad,05,باتنة,تيمقاد,033.21.11.07,(033) 81 - 14 - 10,,,حي الزهور,merged
0551,رأس العيون,RAS EL AIOUN,Ras El Aioun,05,باتنة,رأس العيون,033.37.04.00,(033) 80 - 08 - 08,APCREA0551@GMAIL.COM,,حي 19 مارس شارع الشهيد بارة بلقاسم رأس العيون,merged
0552,شير,CHIR,Chir,05,باتنة,ثنية العابد,033.20.62.38,(033) 97 - 63 - 22,Communechir@gmail.com,,النوادر-شير,merged
0553,أولاد سيدي سليمان,OULED SI SLIMANE,Ouled Si Slimane,05,باتنة,أولاد سي سليمان,033.37.32.68,(033) 88 - 34 - 26,apcouledsislimane@gmail.com,,أولاد سي سليمان,merged
0554,زانة البيضاء,ZANET EL BEIDA,Zanet El Beida,05,باتنة,سريانة,033.87.61.87,(033) 87 - 62 - 92,,,زانة البيضاء,merged
0555,مدوكال,M DOUKAL,M Doukal,05,باتنة,بريكة,033.89.70.70,(033) 89 - 71 - 58,C.mdoukal2017@gmail.com,,إمدوكل,merged
0556,أولاد عمار,OULED AMMAR,Ouled Ammar,05,باتنة,الجزار,033.37.41.44,(033) 95 - 51 - 54,oueledammar.0556@gmail.com,,أولاد عمار,merged
0557,الحاسي,EL HASSI,El Hassi,05,باتنة,عين جاسر,033.87.72.55,(033) 87 - 72 - 83,,,الحاسي,merged
0558,لازرو,LAZROU,Lazrou,05,باتنة,سريانة,033.93.64.16,(033) 93 - 64 - 27,www.apclazrou@gmail.com,,لازرو,merged
